,Anticipation,joy,Trust,Fear,Surprise,Sadness,Disgust,Anger
29,0.7,0.2,0.3,0.4,0.6,0.1,0.0,0.0
30,0.7,0.2,0.3,0.6,0.8,0.1,0.0,0.0
31,0.7,0.2,0.3,0.6,0.8,0.2,0.1,0.1
32,0.2,0.1,0.1,0.3,0.2,0.2,0.1,0.1
33,0.2,0.1,0.2,0.3,0.2,0.6,0.1,0.1
34,0.6,0.2,0.3,0.4,0.5,0.7,0.1,0.1
35,0.6,0.2,0.3,0.4,0.5,0.2,0.1,0.1
36,0.3,0.1,0.2,0.4,0.3,0.2,0.1,0.1
37,0.2,0.1,0.1,0.3,0.2,0.1,0.1,0.1
38,0.6,0.2,0.3,0.4,0.5,0.2,0.1,0.1
39,0.3,0.2,0.4,0.2,0.3,0.1,0.1,0.1
40,0.2,0.1,0.1,0.4,0.7,0.2,0.1,0.1
41,0.2,0.1,0.2,0.6,0.7,0.3,0.1,0.1
42,0.7,0.1,0.2,0.4,0.8,0.1,0,0
43,0.7,0.2,0.3,0.5,0.8,0.2,0.1,0.1
44,0.7,0.2,0.3,0.6,0.8,0.2,0.1,0.1
45,0.7,0.2,0.3,0.4,0.8,0.1,0,0.1
46,0.7,0.2,0.3,0.6,0.8,0.3,0.1,0.2
47,0.3,0.1,0.2,0.6,0.4,0.7,0.1,0.2
48,0.7,0.2,0.3,0.6,0.8,0.4,0.1,0.1
49,0.7,0.1,0.2,0.4,0.6,0.3,0.1,0.1
50,0.6,0.1,0.2,0.4,0.7,0.5,0.1,0.2
51,0.7,0.2,0.3,0.4,0.8,0.3,0.1,0.1
52,0.8,0.7,0.3,0.2,0.6,0.1,0,0
53,0.7,0.2,0.3,0.4,0.6,0.2,0.1,0.1
54,0.7,0.6,0.3,0.2,0.5,0.1,0,0
55,0.7,0.2,0.1,0.4,0.3,0.6,0.1,0.1
56,0.7,0.2,0.3,0.6,0.5,0.7,0.1,0.2
57,0.7,0.2,0.3,0.4,0.5,0.6,0.1,0.1
58,0.7,0.2,0.3,0.6,0.8,0.4,0.1,0.2
59,0.7,0.2,0.3,0.4,0.6,0.5,0.1,0.2
60,0.7,0.2,0.3,0.5,0.8,0.3,0.1,0.1
61,0.7,0.2,0.3,0.4,0.8,0.1,0.1,0.1
62,0.7,0.1,0.2,0.4,0.3,0.1,0.1,0.1
63,0.7,0.1,0.2,0.6,0.3,0.1,0.1,0.1
64,0.7,0.2,0.3,0.8,0.6,0.4,0.2,0.1
65,0.6,0.1,0.2,0.7,0.5,0.3,0.2,0.1
66,0.6,0.1,0.2,0.7,0.4,0.3,0.5,0.2
67,0.6,0.1,0.2,0.7,0.4,0.2,0.3,0.1
68,0.7,0.2,0.3,0.6,0.7,0.2,0.1,0.1
69,0.7,0.6,0.2,0.1,0.3,0.1,0.1,0.1
70,0.7,0.2,0.3,0.4,0.8,0.1,0.1,0.1
71,0.8,0.7,0.3,0.2,0.6,0.1,0.0,0.0
72,0.7,0.2,0.3,0.4,0.6,0.1,0.0,0.0
73,0.7,0.2,0.3,0.6,0.5,0.2,0.1,0.1
74,0.7,0.2,0.3,0.6,0.8,0.4,0.1,0.1
75,0.8,0.6,0.3,0.2,0.4,0.1,0,0
76,0.7,0.2,0.3,0.6,0.7,0.6,0.1,0.2
77,0.7,0.2,0.3,0.6,0.8,0.7,0.1,0.4
78,0.7,0.2,0.3,0.6,0.8,0.5,0.1,0.2
79,0.2,0.1,0.2,0.6,0.3,0.7,0.1,0.2
80,0.2,0.1,0.2,0.4,0.3,0.6,0.1,0.5
81,0.3,0.1,0.2,0.4,0.3,0.6,0.1,0.5
82,0.6,0.2,0.3,0.4,0.5,0.3,0.1,0.2
83,0.2,0.1,0.2,0.4,0.3,0.6,0.1,0.2
84,0.7,0.2,0.3,0.4,0.6,0.5,0.1,0.2
85,0.7,0.2,0.3,0.1,0.6,0.2,0.1,0.1
86,0.7,0.2,0.3,0.4,0.5,0.3,0.1,0.1
87,0.8,0.2,0.3,0.1,0.2,0.1,0.0,0.0
88,0.7,0.2,0.3,0.4,0.5,0.3,0.1,0.1
89,0.7,0.2,0.3,0.6,0.8,0.4,0.1,0.2
90,0.7,0.2,0.3,0.4,0.6,0.3,0.1,0.1
